machine.authenticate_device (size=8.0): 0.019858344981912524
machine2.authenticate_device (size=8.0): 0.020329471008153632
handshake (size=8.0): 0.056641128001501784
send (size=8.0): 0.004672045004554093
send (size=8.0): 9.927898645401001e-05
machine.authenticate_device denial (size=10.0): 0.0003917509748134762
machine.authenticate_device denial (size=10.0): 0.01958473798003979
machine.authenticate_device denial (size=10.0): 0.00043265800923109055
machine.authenticate_device denial (size=10.0): 0.01901646499754861
machine.authenticate_device denial (size=10.0): 0.0006107859953772277
machine.authenticate_device denial (size=10.0): 0.018752140022115782
machine.authenticate_device denial (size=10.0): 0.0004076340119354427
machine.authenticate_device denial (size=10.0): 0.01931687499745749
machine.authenticate_device denial (size=10.0): 0.00042628400842659175
machine.authenticate_device denial (size=10.0): 0.019164467987138778
machine.authenticate_device denial (size=10.0): 0.00040086102671921253
machine.authenticate_device denial (size=10.0): 0.018829966022167355
machine.authenticate_device denial (size=10.0): 0.0004164149868302047
machine.authenticate_device denial (size=10.0): 0.019079379009781405
machine.authenticate_device denial (size=10.0): 0.0005591420049313456
machine.authenticate_device denial (size=10.0): 0.01933975101565011
machine.authenticate_device denial (size=10.0): 0.000398053991375491
machine.authenticate_device denial (size=10.0): 0.019593487988458946
machine.authenticate_device denial (size=10.0): 0.00040228900616057217
machine.authenticate_device denial (size=10.0): 0.01856512000085786
machine.authenticate_device denial (size=10.0): 0.0005082669958937913
machine.authenticate_device denial (size=10.0): 0.01881273402250372
machine.authenticate_device denial (size=10.0): 0.00040949200047180057
machine.authenticate_device denial (size=10.0): 0.018548397027188912
machine.authenticate_device denial (size=10.0): 0.0005401920061558485
machine.authenticate_device denial (size=10.0): 0.018890340987127274
machine.authenticate_device denial (size=10.0): 0.0005482030101120472
machine.authenticate_device denial (size=10.0): 0.018746645015198737
machine.authenticate_device denial (size=10.0): 0.00036862498382106423
machine.authenticate_device denial (size=10.0): 0.019550635013729334
machine.authenticate_device denial (size=10.0): 0.00044461400830186903
machine.authenticate_device denial (size=10.0): 0.018409136013360694
machine.authenticate_device denial (size=10.0): 0.00041609499021433294
machine.authenticate_device denial (size=10.0): 0.01826248300494626
machine.authenticate_device denial (size=10.0): 0.0007713149825576693
machine.authenticate_device denial (size=10.0): 0.0235335839970503
machine.authenticate_device denial (size=10.0): 0.0003791449998971075
machine.authenticate_device denial (size=10.0): 0.018343895993893966
machine.authenticate_device denial (size=10.0): 0.0004580400127451867
